num,EDAD,P6_1,P6_5,P6_7_4,P6_7_5,P6_9_4,P6_9_5,P7_3,P7_4,P7_5,P7_6_1,P7_6_2,P7_6_3,P7_6_4,P7_6_5,P7_6_6,P7_8_4,P7_8_5,P7_8_6,P7_8_7,P7_15,P7_16_1,P7_16_2,P7_16_3,P7_16_4,P7_16_5,P7_16_6,P7_16_7,P7_16_8,P7_16_9,P7_16_10,P7_17_1,P7_18_1,P7_23,P7_28,DOMINIO,TLOC,ESTRATO,SEXO,ENT
50,98,2,0,0,0,0,0,1,5,3,2,2,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,4,1,U,1,4,2,9
51,49,2,0,0,0,0,0,1,4,3,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,4,1,9
52,64,1,6,1,1,1,1,1,4,3,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,4,1,U,1,4,2,9
53,25,1,3,2,2,1,1,1,3,3,2,1,2,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,4,1,U,1,3,1,9
54,44,1,8,2,2,1,1,1,12,3,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,4,1,U,1,3,2,9
55,18,1,2,1,2,1,1,1,2,3,2,1,2,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,1,U,1,3,1,9
56,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,3,2,9
57,18,2,0,0,0,0,0,1,2,3,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,1,2,2,1,0,1,U,1,3,1,9
58,33,1,8,2,2,1,1,1,8,3,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,2,4,1,U,1,3,2,9
59,17,1,3,1,2,1,1,1,8,3,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,1,1,2,1,2,2,2,0,2,U,1,3,2,9
60,68,2,0,0,0,0,0,1,2,1,2,2,2,2,1,2,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,U,1,3,1,9
61,62,1,4,2,2,2,1,1,4,3,2,1,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,0,2,U,1,3,2,9
62,92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,3,2,9
63,61,1,1,2,2,1,1,1,2,3,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,0,2,U,1,3,2,9
64,42,1,10,2,2,2,1,1,10,3,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,4,1,U,1,3,1,9
65,68,1,1,2,2,1,1,1,5,1,2,1,2,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,U,1,4,2,9
66,65,1,1,2,2,1,1,1,2,3,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,0,2,U,1,4,2,9
67,40,1,3,2,2,1,1,1,4,3,2,1,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,3,1,U,1,4,1,9
68,48,1,12,2,2,1,1,1,8,3,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,5,1,U,1,4,1,9
69,46,1,8,2,2,1,1,1,8,3,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,3,1,U,1,4,1,9
70,37,2,0,0,0,0,0,1,1,3,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,5,1,U,1,3,2,9
71,47,1,8,2,2,2,1,1,8,3,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,0,1,U,1,3,1,9
72,30,1,8,2,2,2,1,1,10,3,2,1,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,4,1,U,1,3,2,9
73,16,1,6,2,2,1,1,1,12,1,2,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,1,1,2,1,1,2,2,0,2,U,1,3,1,9
74,16,1,5,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U,1,3,2,9
75,29,1,8,2,2,2,1,1,12,3,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,1,2,2,1,2,1,2,5,1,U,1,3,2,9
76,33,1,1,2,2,2,1,1,4,3,1,1,1,1,1,2,2,2,1,1,1,2,2,1,2,2,1,2,2,2,2,1,2,4,1,U,1,3,1,9
77,44,1,10,2,2,1,1,1,10,3,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,5,1,U,1,3,1,9
78,51,2,0,0,0,0,0,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,4,2,U,1,3,1,9
